ID,node,role
0,P1,1
0,P2,1
0,P3,2
0,P4,1
0,P5,2
0,P6,1
0,P7,2
2,P1,2
2,P2,1
2,P3,1
2,P4,1
2,P5,2
2,P6,1
2,P7,2
3,P1,2
3,P2,1
3,P3,1
3,P4,1
3,P5,1
3,P6,2
3,P7,2
4,P1,2
4,P2,1
4,P3,1
4,P4,2
4,P5,1
4,P6,2
4,P7,1
4,P8,1
5,P1,1
5,P2,2
5,P3,2
5,P4,1
5,P5,1
5,P6,1
5,P7,2
5,P8,1
6,P1,1
6,P2,2
6,P3,2
6,P4,1
6,P5,1
6,P6,2
6,P7,1
7,P1,2
7,P2,1
7,P3,1
7,P4,1
7,P5,2
7,P6,1
8,P1,2
8,P2,1
8,P3,2
8,P4,2
8,P5,1
8,P6,1
8,P7,1
10,P1,1
10,P2,2
10,P3,2
10,P4,1
10,P5,2
10,P6,1
10,P7,1
11,P1,1
11,P2,1
11,P3,1
11,P4,2
11,P5,2
11,P6,1
11,P7,2
12,P1,1
12,P2,1
12,P3,1
12,P4,1
12,P5,2
12,P6,2
12,P7,2
12,P8,1
13,P1,1
13,P2,1
13,P3,2
13,P4,1
13,P5,2
13,P6,1
13,P7,2
14,P1,2
14,P2,1
14,P3,1
14,P4,1
14,P5,2
14,P6,1
14,P7,1
14,P8,2
15,P1,2
15,P2,2
15,P3,1
15,P4,1
15,P5,1
15,P6,2
16,P1,1
16,P2,1
16,P3,2
16,P4,1
16,P5,1
16,P6,2
17,P1,2
17,P2,1
17,P3,2
17,P4,2
17,P5,1
17,P6,1
17,P7,1
18,P1,1
18,P2,1
18,P3,2
18,P4,1
18,P5,2
18,P6,1
18,P7,1
18,P8,2
19,P1,1
19,P2,2
19,P3,2
19,P4,1
19,P5,1
20,P1,1
20,P2,1
20,P3,1
20,P4,2
20,P5,2
20,P6,1
21,P1,1
21,P2,1
21,P3,1
21,P4,2
21,P5,2
21,P6,1
21,P7,2
21,P8,1
24,P1,1
24,P2,2
24,P3,1
24,P4,2
24,P5,1
25,P1,1
25,P2,1
25,P3,2
25,P4,2
25,P5,1
25,P6,2
25,P7,1
25,P8,1
26,P1,1
26,P2,1
26,P3,2
26,P4,1
26,P5,2
26,P6,1
26,P7,2
27,P1,1
27,P2,1
27,P3,2
27,P4,2
27,P5,1
27,P6,1
27,P7,2
27,P8,1
31,P1,1
31,P2,1
31,P3,2
31,P4,2
31,P5,1
31,P6,2
31,P7,1
31,P8,1
32,P1,2
32,P2,2
32,P3,2
32,P4,1
32,P5,1
32,P6,1
32,P7,1
32,P8,1
36,P1,2
36,P2,1
36,P3,2
36,P4,1
36,P5,2
36,P6,1
36,P7,1
37,P1,2
37,P2,2
37,P3,1
37,P4,1
37,P5,1
37,P6,2
37,P7,1
37,P8,1
38,P1,1
38,P2,1
38,P3,2
38,P4,1
38,P5,2
38,P6,1
38,P7,2
39,P1,1
39,P2,1
39,P3,2
39,P4,1
39,P5,2
39,P6,1
39,P7,2
41,P1,1
41,P2,2
41,P3,1
41,P4,2
41,P5,1
41,P6,1
41,P7,2
41,P8,1
42,P1,2
42,P2,1
42,P3,1
42,P4,1
42,P5,1
42,P6,1
42,P7,2
42,P8,2
43,P1,1
43,P2,1
43,P3,1
43,P4,2
43,P5,2
43,P6,2
43,P7,1
44,P1,1
44,P2,2
44,P3,1
44,P4,1
44,P5,2
44,P6,1
45,P1,1
45,P2,1
45,P3,1
45,P4,1
45,P5,2
45,P6,2
46,P1,2
46,P2,2
46,P3,1
46,P4,1
46,P5,1
46,P6,1
46,P7,2
47,P1,1
47,P2,1
47,P3,2
47,P4,1
47,P5,2
47,P6,2
47,P7,1
48,P1,2
48,P2,2
48,P3,1
48,P4,2
48,P5,1
48,P6,1
48,P7,1
50,P1,1
50,P2,2
50,P3,1
50,P4,1
50,P5,2
50,P6,1
51,P1,2
51,P2,1
51,P3,1
51,P4,1
51,P5,2
51,P6,1
51,P7,2
52,P1,2
52,P2,1
52,P3,1
52,P4,1
52,P5,2
52,P6,1
54,P1,1
54,P2,1
54,P3,2
54,P4,2
54,P5,2
54,P6,1
54,P7,1
54,P8,1
56,P1,1
56,P2,2
56,P3,1
56,P4,2
56,P5,1
56,P6,2
56,P7,1
56,P8,2
59,P1,1
59,P2,1
59,P3,2
59,P4,1
59,P5,1
59,P6,2
59,P7,2
60,P1,1
60,P2,1
60,P3,2
60,P4,1
60,P5,2
60,P6,2
60,P7,1
61,P1,2
61,P2,1
61,P3,2
61,P4,1
61,P5,2
61,P6,1
61,P7,1
61,P8,1